instance_id	object_id	raw_name	object_category_id	normal_class_39_id	affordance	positive_points	aiou_d0.020	aiou_d0.030	aiou_d0.040	aiou_d0.050	aiou_d0.060	aiou_d0.080	aiou_d0.100	distance_threshold	aiou_threshold	aiou
am_0000_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2810	0.523076661	0.561111091	0.592797505	0.628352311	0.656710727	0.701669061	0.741075945	0.020	0.478469785	0.523076661
am_0000_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	305	0.635162946	0.667021946	0.715570054	0.738946800	0.772071258	0.823529568	0.844337954	0.020	0.478469785	0.635162946
am_0001_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2811	0.570880127	0.612586864	0.645889612	0.685548424	0.715771977	0.755892671	0.788290985	0.020	0.478469785	0.570880127
am_0001_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	299	0.732561780	0.780720528	0.824386842	0.847032748	0.866392760	0.888033274	0.890078938	0.020	0.478469785	0.732561780
am_0002_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2830	0.659894271	0.704839355	0.736464699	0.768110918	0.796276583	0.838208503	0.869471289	0.020	0.478469785	0.659894271
am_0002_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	295	0.672935481	0.710360437	0.739039246	0.775350012	0.800633344	0.850493239	0.888124675	0.020	0.478469785	0.672935481
am_0003_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2873	0.773057742	0.812414197	0.838258430	0.857864642	0.873645716	0.895398241	0.911983721	0.020	0.478469785	0.773057742
am_0003_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	296	0.746660271	0.784480364	0.829710446	0.858403204	0.877401799	0.903443584	0.907401481	0.020	0.478469785	0.746660271
am_0004_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2812	0.637653002	0.677960426	0.708876667	0.738194447	0.765049378	0.806465133	0.834030472	0.020	0.478469785	0.637653002
am_0004_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	292	0.691924437	0.727723336	0.755396393	0.780951121	0.806890390	0.852886850	0.881283495	0.020	0.478469785	0.691924437
am_0005_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2822	0.706583307	0.746273044	0.774980675	0.800152226	0.825612948	0.860428905	0.882950848	0.020	0.478469785	0.706583307
am_0005_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	340	0.704005206	0.755613539	0.806421887	0.838302595	0.858480592	0.886378105	0.898165604	0.020	0.478469785	0.704005206
am_0006_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2827	0.632610970	0.671526682	0.700291296	0.726866919	0.750556816	0.792061218	0.830403646	0.020	0.478469785	0.632610970
am_0006_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	314	0.715363887	0.750499150	0.787649425	0.822900875	0.852336346	0.892631234	0.908020020	0.020	0.478469785	0.715363887
am_0007_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2816	0.726057419	0.771817469	0.801391475	0.823593576	0.843122284	0.872330707	0.897398770	0.020	0.478469785	0.726057419
am_0007_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	318	0.712298684	0.757235327	0.795317756	0.842738490	0.880805548	0.899736624	0.906243373	0.020	0.478469785	0.712298684
am_0008_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2807	0.734208104	0.779336505	0.811111310	0.835911078	0.857051862	0.889002849	0.911571249	0.020	0.478469785	0.734208104
am_0008_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	308	0.692433732	0.727352158	0.777584795	0.841961126	0.882999655	0.906477348	0.908581543	0.020	0.478469785	0.692433732
am_0009_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2854	0.664963832	0.703494670	0.739425941	0.774423150	0.802776357	0.839017492	0.867267614	0.020	0.478469785	0.664963832
am_0009_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	324	0.764987235	0.807018752	0.834509380	0.857752182	0.880955160	0.899212107	0.907268994	0.020	0.478469785	0.764987235
am_0010_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2813	0.432837624	0.460484142	0.486363403	0.509556635	0.535270243	0.573405719	0.606081450	0.020	0.478469785	0.432837624
am_0010_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	318	0.531727279	0.568294071	0.616751362	0.671515194	0.741597787	0.819946676	0.852884839	0.020	0.478469785	0.531727279
am_0011_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2874	0.662153083	0.700958926	0.729077449	0.754637316	0.776803079	0.810690665	0.839418887	0.020	0.478469785	0.662153083
am_0011_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	307	0.618371177	0.652532475	0.692240540	0.729953455	0.767370390	0.841206416	0.892642776	0.020	0.478469785	0.618371177
am_0012_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2812	0.504895966	0.540061524	0.573171650	0.603960742	0.632365480	0.682257258	0.726154589	0.020	0.478469785	0.504895966
am_0012_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	297	0.775863114	0.818809382	0.851199231	0.872888959	0.886458782	0.900863049	0.906627205	0.020	0.478469785	0.775863114
am_0013_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2897	0.632830852	0.676411590	0.710894699	0.739691185	0.770730860	0.818617786	0.850456217	0.020	0.478469785	0.632830852
am_0013_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	321	0.604702696	0.635176165	0.665914955	0.705070053	0.740199666	0.805576212	0.828205928	0.020	0.478469785	0.604702696
am_0014_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2825	0.441573734	0.468970109	0.493828763	0.519988661	0.543538913	0.587538754	0.630034891	0.020	0.478469785	0.441573734
am_0014_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	311	0.739246420	0.780940298	0.812915426	0.838703313	0.854893640	0.881921587	0.890005400	0.020	0.478469785	0.739246420
am_0015_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp	2825	0.489922362	0.527304652	0.560493196	0.590514513	0.622481038	0.673657169	0.718616166	0.020	0.478469785	0.489922362
am_0015_obj_001_充电器	obj_001_充电器	充电器	charger	charger	plug	310	0.705298223	0.748923486	0.802313452	0.844944341	0.874633628	0.898537789	0.907343728	0.020	0.478469785	0.705298223
am_0016_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	790	0.320978147	0.392712848	0.453007808	0.514374203	0.569479368	0.644574697	0.699774475	0.020	0.478469785	0.320978147
am_0017_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	730	0.182393622	0.216010010	0.236846054	0.259142205	0.278506701	0.316172722	0.349656549	0.020	0.478469785	0.182393622
am_0018_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	751	0.286178209	0.331730224	0.372782247	0.411064534	0.457230605	0.534159282	0.588189828	0.020	0.478469785	0.286178209
am_0019_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	722	0.325438999	0.380162012	0.423935206	0.463991366	0.506640788	0.563695694	0.610415859	0.020	0.478469785	0.325438999
am_0020_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	735	0.386001193	0.457936447	0.519113828	0.560439220	0.598767692	0.653873835	0.691837809	0.020	0.478469785	0.386001193
am_0021_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	751	0.228257204	0.258784668	0.279987901	0.297908091	0.314771706	0.348926215	0.378923714	0.020	0.478469785	0.228257204
am_0022_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	777	0.306311406	0.348910593	0.382172388	0.416976970	0.452751300	0.517349140	0.562332701	0.020	0.478469785	0.306311406
am_0023_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	755	0.194419020	0.221414106	0.246570658	0.277738324	0.312932546	0.401842343	0.460937355	0.020	0.478469785	0.194419020
am_0024_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	727	0.235516812	0.284438796	0.311392934	0.335594686	0.360180320	0.407406039	0.443982909	0.020	0.478469785	0.235516812
am_0025_obj_002_刀具架	obj_002_刀具架	刀具架	rack	rack	place	751	0.302712029	0.351423929	0.391990739	0.424702721	0.464824646	0.544486669	0.595931011	0.020	0.478469785	0.302712029
