normal_class_39_id	normal_class_39_zh	count	correct	accuracy	mean_obj_aiou	distance_threshold	aiou_threshold
apple		15	15	1.000000000	0.877721857	0.020	0.478469785
bag		16	10	0.625000000	0.463353171	0.020	0.478469785
banana		15	15	1.000000000	0.864460062	0.020	0.478469785
bottle		46	39	0.847826087	0.637186234	0.020	0.478469785
bowl		47	39	0.829787234	0.692015918	0.020	0.478469785
chair		30	30	1.000000000	0.834536298	0.020	0.478469785
charger		16	16	1.000000000	0.651148176	0.020	0.478469785
chopsticks		32	32	1.000000000	0.891213625	0.020	0.478469785
cleaning		16	16	1.000000000	0.922159144	0.020	0.478469785
clothing		30	29	0.966666667	0.790375655	0.020	0.478469785
cup		31	30	0.967741935	0.684222163	0.020	0.478469785
cutting_board		30	0	0.000000000	0.371076732	0.020	0.478469785
emergency_button		15	14	0.933333333	0.728671225	0.020	0.478469785
fork		16	16	1.000000000	0.908934540	0.020	0.478469785
fruit_knife		32	32	1.000000000	0.894048563	0.020	0.478469785
kettle		31	31	1.000000000	0.761735487	0.020	0.478469785
kitchen_knife		15	15	1.000000000	0.900098109	0.020	0.478469785
lint_roller		15	15	1.000000000	0.789216610	0.020	0.478469785
medicine_box		45	19	0.422222222	0.417308536	0.020	0.478469785
melon		15	14	0.933333333	0.880054406	0.020	0.478469785
microwave		15	0	0.000000000	0.316426300	0.020	0.478469785
pan		15	15	1.000000000	0.908459086	0.020	0.478469785
peach		15	15	1.000000000	0.915802133	0.020	0.478469785
pear		15	14	0.933333333	0.747046100	0.020	0.478469785
peeler		16	16	1.000000000	0.867309065	0.020	0.478469785
plant_pot		76	60	0.789473684	0.602687695	0.020	0.478469785
plate		63	63	1.000000000	0.765114152	0.020	0.478469785
rack		16	0	0.000000000	0.286373044	0.020	0.478469785
refrigerator		15	13	0.866666667	0.571518376	0.020	0.478469785
remote		15	15	1.000000000	0.704216160	0.020	0.478469785
scissors		16	16	1.000000000	0.858866173	0.020	0.478469785
spatula		45	45	1.000000000	0.897744269	0.020	0.478469785
spoon		63	63	1.000000000	0.907194810	0.020	0.478469785
spray_bottle		16	16	1.000000000	0.627232417	0.020	0.478469785
switch		16	7	0.437500000	0.394301466	0.020	0.478469785
tissue		15	15	1.000000000	0.929093639	0.020	0.478469785
toilet		15	12	0.800000000	0.511893053	0.020	0.478469785
watermelon		15	15	1.000000000	0.949641351	0.020	0.478469785
wheelchair		30	30	1.000000000	0.674816471	0.020	0.478469785
