object_id	raw_name	normal_class_39_id	normal_class_39_zh	count	correct	accuracy	mean_obj_aiou	distance_threshold	aiou_threshold
obj_001_充电器	充电器	charger	充电器类	16	16	1.000000000	0.651148176	0.020	0.478469785
obj_002_刀具架	刀具架	rack	收纳架类	16	0	0.000000000	0.286373044	0.020	0.478469785
obj_003_削皮刀	削皮刀	peeler	削皮刀类	16	16	1.000000000	0.867309065	0.020	0.478469785
obj_004_剪刀	剪刀	scissors	剪刀类	16	16	1.000000000	0.858866173	0.020	0.478469785
obj_005_勺子	勺子	spoon	勺子类	16	16	1.000000000	0.903327729	0.020	0.478469785
obj_006_勺子2	勺子2	spoon	勺子类	16	16	1.000000000	0.904556124	0.020	0.478469785
obj_007_勺子3	勺子3	spoon	勺子类	16	16	1.000000000	0.922285221	0.020	0.478469785
obj_008_医疗箱	医疗箱	bag	包类	16	10	0.625000000	0.463353171	0.020	0.478469785
obj_009_叉子	叉子	fork	叉子类	16	16	1.000000000	0.908934540	0.020	0.478469785
obj_010_开关	开关	switch	开关类	16	7	0.437500000	0.394301466	0.020	0.478469785
obj_011_托盘	托盘	plate	盘子/托盘类	16	16	1.000000000	0.775178676	0.020	0.478469785
obj_012_抹布	抹布	cleaning	清洁类	16	16	1.000000000	0.922159144	0.020	0.478469785
obj_013_果酱	果酱	bottle	瓶子类	16	11	0.687500000	0.600611965	0.020	0.478469785
obj_014_水杯	水杯	cup	水杯类	16	16	1.000000000	0.798055594	0.020	0.478469785
obj_015_水果刀	水果刀	fruit_knife	水果刀类	16	16	1.000000000	0.900155244	0.020	0.478469785
obj_016_水果刀2	水果刀2	fruit_knife	水果刀类	16	16	1.000000000	0.887941881	0.020	0.478469785
obj_017_洒水壶	洒水壶	kettle	壶类	16	16	1.000000000	0.839126208	0.020	0.478469785
obj_018_洒水壶2	洒水壶2	spray_bottle	喷壶类	16	16	1.000000000	0.627232417	0.020	0.478469785
obj_019_盆栽	盆栽	plant_pot	盆栽类	16	14	0.875000000	0.575618027	0.020	0.478469785
obj_020_盘子	盘子	plate	盘子/托盘类	16	16	1.000000000	0.788453678	0.020	0.478469785
