instance_id	object_id	raw_name	object_category_id	normal_class_39_id	active_affordances	num_affordances	obj_aiou_d0.020	obj_aiou_d0.030	obj_aiou_d0.040	obj_aiou_d0.050	obj_aiou_d0.060	obj_aiou_d0.080	obj_aiou_d0.100	distance_threshold	aiou_threshold	obj_aiou	correct
am_0000_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.579119803414387	0.6140665188177895	0.6541837794327265	0.6836495551893276	0.7143909925269463	0.7625993143846339	0.7927069497558477	0.020	0.478469785	0.579119803	1
am_0001_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.6517209532568671	0.6966536960155758	0.7351382271023787	0.7662905861716789	0.7910823687006442	0.8219629723837579	0.8391849618171799	0.020	0.478469785	0.651720953	1
am_0002_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.6664148756938736	0.7075998958832949	0.7377519724612167	0.7717304646860328	0.798454963770742	0.8443508710887827	0.8787979823872906	0.020	0.478469785	0.666414876	1
am_0003_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.7598590062857864	0.7984472803646515	0.8339844379855454	0.8581339231869505	0.8755237572667773	0.8994209124088093	0.9096926009794291	0.020	0.478469785	0.759859006	1
am_0004_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.6647887195157041	0.7028418809371012	0.7321365300205177	0.7595727838253646	0.7859698839091322	0.8296759918730675	0.857656983422542	0.020	0.478469785	0.664788720	1
am_0005_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.7052942563025315	0.7509432919399583	0.7907012806686518	0.8192274102940871	0.842046770081119	0.8734035049486868	0.8905582259581859	0.020	0.478469785	0.705294256	1
am_0006_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.6739874284751296	0.7110129162280434	0.7439703604784849	0.7748838969383425	0.8014465813969354	0.8423462256473796	0.8692118328495004	0.020	0.478469785	0.673987428	1
am_0007_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.7191780515342377	0.7645263982067834	0.7983546152430138	0.8331660327441346	0.8619639157962438	0.8860336655861994	0.9018210715365381	0.020	0.478469785	0.719178052	1
am_0008_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.7133209177562987	0.7533443314967777	0.7943480522162764	0.8389361022220766	0.8700257587974844	0.8977400984662806	0.9100763960433428	0.020	0.478469785	0.713320918	1
am_0009_obj_001_充电器	obj_001_充电器	充电器	charger	charger	grasp,plug	2	0.7149755338069481	0.7552567111795083	0.7869676602799791	0.8160876661715831	0.8418657585236962	0.8691147996060128	0.8872683040908336	0.020	0.478469785	0.714975534	1
