category_id	count	miou
bag	4	0.918961
bottle	12	0.928280
button	11	0.839230
chair	17	0.818536
charger	4	0.903104
chopsticks	5	0.873553
cleaning	3	0.907194
clothing	5	0.941967
cutting_board	7	0.900815
fork	5	0.825780
fruit	22	0.935770
kettle	6	0.869356
knife	17	0.827779
lint_roller	4	0.866022
medicine_box	7	0.894683
microwave	1	0.969816
open_container	36	0.867860
plate	14	0.914579
rack	5	0.907760
refrigerator	4	0.917240
spatula	11	0.911883
spoon	18	0.937786
spray_bottle	1	0.875367
tissue	2	0.919237
toilet	5	0.984160
